Pathway Title,ID,Organism,Last Edited,Communities,Pathway Terms,Disease Terms,Cell Types
Lipid particles composition,WP3601,Homo sapiens,22 May 2021,,"lipid metabolic pathway, classic metabolic pathway",,
Lipid remodeling,WP5290,Anopheles gambiae,18 Jan 2023,,"lipid metabolic pathway, classic metabolic pathway",,
Lipoic acid metabolism,WP1667,Mycobacterium tuberculosis,27 Dec 2017,,"lipoic acid metabolic pathway, fatty acid biosynthetic pathway, fatty acid metabolic pathway, classic metabolic pathway",,
Liver X receptor pathway,WP2874,Homo sapiens,07 May 2021,,regulatory pathway,,
Liver steatosis adverse outcome pathway,WP4010,Homo sapiens,23 Jun 2021,AOP,,"fatty liver disease, genetic disease","hepatocyte, native cell"
Long-day flowering time pathway,WP622,Arabidopsis thaliana,29 Nov 2021,,regulatory pathway,,
Lung fibrosis,WP3624,Homo sapiens,27 May 2021,"AOP, Diseases, Nanomaterials","respiratory system disease pathway, carbon nanotube response pathway, disease pathway, regulatory pathway",pulmonary fibrosis,
Lung fibrosis,WP3632,Mus musculus,17 Dec 2020,AOP,"respiratory system disease pathway, disease pathway",pulmonary fibrosis,
Lycopene biosynthesis,WP2204,Zea mays,17 Sep 2019,,"lycopene biosynthetic pathway, carotenoid biosynthetic pathway, classic metabolic pathway",,
MAP3K1 role in promoting and blocking gonadal determination,WP4872,Homo sapiens,16 Apr 2020,,signaling pathway,"46,XY sex reversal, 46 XX gonadal dysgenesis, gonadal dysgenesis",
MAPK and NFkB signaling pathways inhibited by Yersinia YopJ,WP3849,Homo sapiens,07 May 2021,,"mitogen activated protein kinase signaling pathway, signaling pathway","bubonic plague, disease by infectious agent",
MAPK cascade,WP422,Homo sapiens,11 May 2021,,"mitogen activated protein kinase signaling pathway, signaling pathway",,
MAPK pathway in congenital thyroid cancer,WP4928,Homo sapiens,08 Jan 2022,,"altered Erk5 MAPK signaling pathway, thyroid cancer pathway, signaling pathway, disease pathway","thyroid gland cancer, disease of cellular proliferation",
MAPK signaling pathway,WP1114,Canis familiaris,08 Dec 2021,,"mitogen activated protein kinase signaling pathway, signaling pathway",,
MAPK signaling pathway,WP1337,Danio rerio,13 May 2021,,"mitogen activated protein kinase signaling pathway, signaling pathway",,
MAPK signaling pathway,WP358,Rattus norvegicus,14 May 2021,,"mitogen activated protein kinase signaling pathway, signaling pathway",,
MAPK signaling pathway,WP382,Homo sapiens,23 Apr 2023,"CPTAC, PancCanNet","mitogen activated protein kinase signaling pathway, signaling pathway",,
MAPK signaling pathway,WP510,Saccharomyces cerevisiae,20 May 2021,,"mitogen activated protein kinase signaling pathway, signaling pathway",,
MAPK signaling pathway,WP769,Gallus gallus,19 May 2021,,"mitogen activated protein kinase signaling pathway, signaling pathway",,
MAPK signaling pathway,WP880,Pan troglodytes,14 May 2021,,"mitogen activated protein kinase signaling pathway, signaling pathway",,
MAPK signaling pathway,WP998,Bos taurus,14 May 2021,,"mitogen activated protein kinase signaling pathway, signaling pathway",,
MECP2 and associated Rett syndrome,WP3584,Homo sapiens,18 Jan 2023,"Diseases, RareDiseases",disease pathway,"Rett syndrome, disease of mental health",
MED and pseudoachondroplasia genes,WP4789,Homo sapiens,22 May 2021,SkeletalDysplasia,disease pathway,"pseudoachondroplasia, genetic disease",
MET in type 1 papillary renal cell carcinoma,WP4205,Homo sapiens,26 Aug 2023,"CPTAC, Diseases, Renal_Genomics",,"cancer, papillary renal cell carcinoma, disease of cellular proliferation","endothelial cell, epithelial cell, native cell, animal cell"
MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement,WP4560,Homo sapiens,29 Nov 2019,"CPTAC, ExRNA","cancer pathway, disease pathway","ovarian cancer, disease of cellular proliferation","endothelial cell, fibroblast, native cell, animal cell"
MFAP5-mediated ovarian cancer cell motility and invasiveness,WP3301,Homo sapiens,26 Aug 2023,"CPTAC, ExRNA","disease pathway, cancer pathway","ovarian cancer, disease of cellular proliferation",
MTHFR deficiency,WP4288,Homo sapiens,30 Nov 2021,"Diseases, IEM, RareDiseases","disease pathway, S-adenosylmethionine homeostasis pathway, methylenetetrahydrofolate reductase deficiency pathway, hyperhomocysteinemia pathway, folate metabolic pathway, regulatory pathway","inherited metabolic disorder, genetic disease","oligodendrocyte, animal cell"
MYD88 distinct input-output pathway,WP3877,Homo sapiens,22 May 2021,,"Toll-like receptor signaling pathway, signaling pathway",,
Macrophage markers,WP2271,Mus musculus,11 Jul 2013,,,,"macrophage, native cell"
Macrophage markers,WP4146,Homo sapiens,19 Oct 2019,,,,"macrophage, native cell"
Major receptors targeted by epinephrine and norepinephrine,WP4589,Homo sapiens,23 Jun 2021,,"epinephrine signaling pathway, classic metabolic pathway, norepinephrine signaling pathway, signaling pathway",,
Male infertility,WP4673,Homo sapiens,17 Sep 2021,RareDiseases,disease pathway,male infertility,"sperm, native cell"
Male mating,WP2287,Caenorhabditis elegans,27 May 2021,WormBase_Approved,"lysosomes based pathway of protein degradation, protein sorting pathway, regulatory pathway","autosomal dominant polycystic kidney disease, genetic disease",ciliated cell
Male steroid hormones in cardiomyocyte energy metabolism,WP5320,Homo sapiens,18 Mar 2023,,classic metabolic pathway,,
Mammalian disorder of sexual development,WP4842,Homo sapiens,17 Jun 2021,RareDiseases,signaling pathway,"ovarian dysfunction, sexual dysfunction, disorder of sexual development, , disease of mental health",
Mammary gland development pathway - Embryonic development (Stage 1 of 4),WP2813,Homo sapiens,22 Dec 2018,,regulatory pathway,,"germ line stem cell, milk secreting cell, native cell"
Mammary gland development pathway - Involution (Stage 4 of 4),WP2815,Homo sapiens,22 Dec 2018,,regulatory pathway,,"milk secreting cell, native cell"
Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4),WP2817,Homo sapiens,22 Dec 2018,,regulatory pathway,,"milk secreting cell, native cell"
Mammary gland development pathway - Puberty (Stage 2 of 4),WP2814,Homo sapiens,22 Dec 2018,,regulatory pathway,,"milk secreting cell, native cell"
Mapk cascade,WP251,Mus musculus,11 May 2021,,"mitogen activated protein kinase signaling pathway, signaling pathway",,
Mapk signaling pathway,WP493,Mus musculus,23 May 2021,,"mitogen activated protein kinase signaling pathway, signaling pathway",,
Markers of kidney cell lineage,WP5236,Homo sapiens,01 Feb 2023,,regulatory pathway,,"kidney cell, animal cell"
Matrix metalloproteinases,WP1060,Bos taurus,21 May 2021,,"cell-extracellular matrix signaling pathway, protein degradation pathway, signaling pathway, regulatory pathway",,
Matrix metalloproteinases,WP1176,Canis familiaris,21 May 2021,,"cell-extracellular matrix signaling pathway, signaling pathway",,
Matrix metalloproteinases,WP129,Homo sapiens,22 May 2021,,"cell-extracellular matrix signaling pathway, protein degradation pathway, signaling pathway, regulatory pathway",,
Matrix metalloproteinases,WP278,Rattus norvegicus,16 May 2021,,"cell-extracellular matrix signaling pathway, signaling pathway",,
Matrix metalloproteinases,WP441,Mus musculus,23 May 2021,,"cell-extracellular matrix signaling pathway, signaling pathway",,
Matrix metalloproteinases,WP823,Gallus gallus,19 May 2021,,"cell-extracellular matrix signaling pathway, signaling pathway",,
Matrix metalloproteinases,WP942,Pan troglodytes,21 May 2021,,"cell-extracellular matrix signaling pathway, signaling pathway",,
Measles virus infection,WP4630,Homo sapiens,10 Aug 2023,CPTAC,"signaling pathway pertinent to immunity, signaling pathway","viral infectious disease, measles, disease by infectious agent","dendritic cell, epithelial cell, lymphocyte, native cell, animal cell"
Mechanisms associated with pluripotency,WP1763,Mus musculus,28 Apr 2023,,"signaling pathway pertinent to development, signaling pathway",,"pluripotent stem cell, stem cell"
Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms,WP4534,Homo sapiens,26 Aug 2023,,"Hippo signaling pathway, mechanotransduction pathway, signaling pathway","cancer, disease of cellular proliferation",
Mechanosensory inputs influence pharyngeal activity via ivermectin sensitivity genes,WP1765,Caenorhabditis elegans,28 Apr 2023,,"mechanotransduction pathway, signaling pathway",,
Mecp2 and associated Rett syndrome,WP2910,Mus musculus,23 Nov 2021,ExRNA,"regulatory pathway pertinent to the brain, regulatory pathway",,
Meiotic recombination genes,WP377,Saccharomyces cerevisiae,25 Feb 2023,,"cell cycle pathway, meiotic, regulatory pathway",,
Melanoma,WP4685,Homo sapiens,22 Jun 2021,"CPTAC, Diseases",,"melanoma, disease of cellular proliferation",
Melatonin metabolism and effects,WP3298,Homo sapiens,22 Dec 2021,,"hormone signaling pathway, signaling pathway","sleep disorder, cancer, developmental disorder of mental health, disease of mental health, disease of cellular proliferation",
Membrane trafficking,WP3212,Bos taurus,21 May 2021,,regulatory pathway,,
Mesodermal commitment pathway,WP2857,Homo sapiens,27 May 2021,ExRNA,regulatory pathway,,
Mesodermal commitment pathway,WP3183,Bos taurus,21 May 2021,,regulatory pathway,,
"Meta pathway lipodystrophy, dyslipidemia and hyperlipidemia",WP5105,Homo sapiens,01 Jun 2021,RareDiseases,disease pathway,"familial partial lipodystrophy type 2, congenital generalized lipodystrophy type 1, lipid metabolism disorder, hyperlipoproteinemia type IV, congenital generalized lipodystrophy type 4, congenital generalized lipodystrophy type 3, familial chylomicronemia syndrome, lipodystrophy, familial combined hyperlipidemia, familial hyperlipidemia, hypolipoproteinemia, familial partial lipodystrophy type 6, familial partial lipodystrophy type 1, hyperlipoproteinemia type V, familial partial lipodystrophy type 4, familial hypercholesterolemia, hyperlipoproteinemia type III, congenital generalized lipodystrophy type 2, familial partial lipodystrophy type 5, acquired generalized lipodystrophy, familial partial lipodystrophy type 3, genetic disease,",
Metabolic Epileptic Disorders,WP5355,Homo sapiens,03 Aug 2023,,"metabolic disease pathway, neuropsychiatric disease pathway, disease pathway",,
"Metabolic pathway of LDL, HDL and TG, including diseases",WP4522,Homo sapiens,01 Apr 2023,"Diseases, IEM, RareDiseases","triacylglycerol metabolic pathway, disease pathway, familial combined hyperlipidemia pathway, lipoprotein metabolic pathway, altered lipoprotein metabolic pathway, classic metabolic pathway","familial combined hyperlipidemia, autosomal recessive hypercholesterolemia, Tangier disease, hypobetalipoproteinemia, genetic disease",
Metabolic pathways of fibroblasts,WP5312,Homo sapiens,28 Feb 2023,,classic metabolic pathway,pulmonary fibrosis,"fibroblast, animal cell"
Metabolic reprogramming in colon cancer,WP4290,Homo sapiens,29 May 2021,"CPTAC, Diseases","altered carbohydrate metabolic pathway, cancer pathway, classic metabolic pathway, disease pathway","colorectal cancer, disease of cellular proliferation",
Metabolic reprogramming in pancreatic cancer,WP5220,Homo sapiens,10 Dec 2022,CPTAC,"altered lipid metabolic pathway, pancreatic cancer pathway, altered citric acid cycle pathway, classic metabolic pathway, disease pathway","pancreatic cancer, disease of cellular proliferation",
Metabolism of alpha-linolenic acid,WP4586,Homo sapiens,23 Jun 2021,,"eicosanoid metabolic pathway, linoleic acid metabolic pathway, alpha-linolenic acid metabolic pathway, classic metabolic pathway",,
Metabolism of dichloroethylene by CYP450,WP3666,Homo sapiens,22 May 2021,,classic metabolic pathway,,
Metabolism of sphingolipids in ER and Golgi apparatus,WP4142,Homo sapiens,23 Jun 2021,,"glycosphingolipid metabolic pathway, lacto-series glycosphingolipid metabolic pathway, sphingolipid biosynthetic pathway, sphingolipid metabolic pathway, classic metabolic pathway",,
Metabolism of tetrahydrocannabinol (THC),WP4174,Homo sapiens,01 Feb 2023,,"xenobiotic metabolic pathway, drug pathway, phase I biotransformation pathway via cytochrome P450, classic metabolic pathway, regulatory pathway",,
Metabolism overview,WP3602,Homo sapiens,08 May 2021,,classic metabolic pathway,,
Metapathway UDP-glucuronosyltransferases,WP1431,Caenorhabditis elegans,07 Jan 2015,,,,
Metapathway biotransformation,WP1006,Bos taurus,30 Jun 2015,,"phase I biotransformation pathway, cellular detoxification pathway, regulatory pathway",,
Metapathway biotransformation,WP1212,Equus caballus,25 Jul 2016,,classic metabolic pathway,,
Metapathway biotransformation,WP1251,Mus musculus,05 Oct 2017,,"cellular detoxification pathway, regulatory pathway",,
Metapathway biotransformation,WP1286,Rattus norvegicus,24 Feb 2023,,"cellular detoxification pathway, regulatory pathway",,
Metapathway biotransformation Phase I and II,WP702,Homo sapiens,12 Sep 2019,,"phase I biotransformation pathway, cellular detoxification pathway, phase II biotransformation pathway, phase I biotransformation pathway via cytochrome P450, regulatory pathway",,
Metapathway signal transduction,WP1546,Caenorhabditis elegans,28 Apr 2023,,signaling pathway,,
Metastatic brain tumor,WP2249,Homo sapiens,10 Oct 2019,"Diseases, ExRNA, ExRNA",disease pathway,disease of cellular proliferation,
Metastatic brain tumor,WP3259,Bos taurus,06 Oct 2016,,disease pathway,disease of cellular proliferation,
Methionine de novo and salvage pathway,WP3580,Homo sapiens,31 Jan 2022,,"classic metabolic pathway, methionine biosynthetic pathway, regulatory pathway",,
Methionine degradation,WP46,Saccharomyces cerevisiae,20 May 2021,,"methionine degradation pathway, regulatory pathway",,
Methionine metabolism leading to sulfur amino acids and related disorders,WP4292,Homo sapiens,18 Jan 2023,"IEM, RareDiseases","disease pathway, cystathioninuria pathway, hypermethioninemia pathway, methionine degradation pathway, sulfite oxidase deficiency pathway, glycine N-methyltransferase deficiency pathway, altered metal homeostasis pathway, homocystinuria pathway, cysteine and methionine metabolic pathway, regulatory pathway, classic metabolic pathway","glycine N-methyltransferase deficiency, hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase, homocystinuria, isolated sulfite oxidase deficiency, hypermethioninemia due to adenosine kinase deficiency, cystathioninuria, hypermethioninemia, genetic disease",
Methylation,WP1247,Mus musculus,17 Sep 2019,,"protein modification pathway, regulatory pathway",,
Methylation,WP1282,Rattus norvegicus,17 Sep 2019,,"protein modification pathway, regulatory pathway",,
Methylation pathways,WP704,Homo sapiens,22 May 2021,CPTAC,"classic metabolic pathway, protein modification pathway, regulatory pathway",,
Methylation pathways,WP992,Bos taurus,21 May 2021,,"protein modification pathway, regulatory pathway",,
Methylerythritol phosphate pathway,WP2212,Oryza sativa,05 Aug 2018,,"tetrahydrobiopterin metabolic pathway, classic metabolic pathway",,obsolete plant cell
Mevalonate arm of cholesterol biosynthesis pathway,WP4190,Homo sapiens,27 May 2021,,"cholesterol biosynthetic pathway, mitochondria transport pathway, altered cholesterol biosynthetic pathway, isoprenoid biosynthetic pathway, classic metabolic pathway, regulatory pathway",,"cell, obsolete metabolising cell"
Mevalonate arm of cholesterol biosynthesis pathway with inhibitors,WP4189,Homo sapiens,09 Oct 2021,,"cholesterol biosynthetic pathway, altered cholesterol biosynthetic pathway, classic metabolic pathway",,
Mevalonate pathway,WP3963,Homo sapiens,02 Feb 2023,,"isoprenoid metabolic pathway, classic metabolic pathway",,
MicroRNA for targeting cancer growth and vascularization in glioblastoma,WP3593,Homo sapiens,22 May 2021,"CPTAC, ExRNA","glioma pathway, microRNA pathway, disease pathway, regulatory pathway","glioblastoma, disease of cellular proliferation",
MicroRNA network associated with chronic lymphocytic leukemia,WP4399,Homo sapiens,29 Nov 2018,ExRNA,"altered p53 signaling pathway, signaling pathway","chronic lymphocytic leukemia, disease of cellular proliferation","B cell, native cell"
MicroRNAs in cardiomyocyte hypertrophy,WP1544,Homo sapiens,28 Apr 2023,ExRNA,"hypertrophic cardiomyopathy pathway, microRNA pathway, disease pathway, regulatory pathway","heart disease, cardiovascular system disease",
MicroRNAs in cardiomyocyte hypertrophy,WP1560,Mus musculus,14 May 2021,,"hypertrophic cardiomyopathy pathway, disease pathway",,
Microglia pathogen phagocytosis pathway,WP3626,Mus musculus,14 May 2021,,"innate immune response pathway, Alzheimer's disease pathway, regulatory pathway, disease pathway",,"microglial cell, animal cell"
Microglia pathogen phagocytosis pathway,WP3937,Homo sapiens,08 Jan 2022,,"Alzheimer's disease pathway, innate immune response pathway, disease pathway, regulatory pathway",,"microglial cell, animal cell"
Microtubule cytoskeleton regulation,WP2038,Homo sapiens,18 May 2021,,"cell-extracellular matrix signaling pathway, signaling pathway",,
Microtubule cytoskeleton regulation,WP3177,Bos taurus,21 May 2021,,"cell-extracellular matrix signaling pathway, signaling pathway",,
Mineralocorticoid biosynthesis,WP5279,Homo sapiens,30 Jun 2023,,"classic metabolic pathway, mineralocorticoid biosynthetic pathway, lipid metabolic pathway, aldosterone biosynthetic pathway",,
Mismatch repair,WP1035,Bos taurus,30 Jun 2015,,,,
Mismatch repair,WP1152,Canis familiaris,05 Jul 2013,,"mismatch repair pathway, regulatory pathway",,
Mismatch repair,WP1233,Anopheles gambiae,27 Jun 2019,,"mismatch repair pathway, regulatory pathway",,
Mismatch repair,WP1257,Mus musculus,08 Jul 2013,,"mismatch repair pathway, regulatory pathway",,
Mismatch repair,WP1295,Rattus norvegicus,08 Jul 2013,,"mismatch repair pathway, regulatory pathway",,
Mismatch repair,WP740,Caenorhabditis elegans,27 May 2021,,"mismatch repair pathway, regulatory pathway",,
Mismatch repair,WP802,Gallus gallus,08 Jul 2013,,"mismatch repair pathway, regulatory pathway",,
Mitochondrial beta-oxidation,WP5241,Homo sapiens,10 Dec 2022,,"lipid metabolic pathway, classic metabolic pathway, fatty acid beta degradation pathway",,
Mitochondrial complex I assembly model OXPHOS system,WP4324,Homo sapiens,31 Jul 2018,,"electron transport chain pathway, oxidative phosphorylation pathway, classic metabolic pathway",,
Mitochondrial complex I inhibition leading to chemical-induced Fanconi syndrome,WP4944,Homo sapiens,28 May 2021,AOP,"altered metabolic pathway, classic metabolic pathway",Fanconi syndrome,
Mitochondrial complex I inhibition leading to parkinsonian motor deficits,WP4945,Homo sapiens,28 Feb 2023,"AOP, Diseases","altered energy metabolic pathway, classic metabolic pathway","Parkinson's disease, central nervous system disease",
Mitochondrial complex II assembly,WP4920,Homo sapiens,22 May 2021,,"oxidative phosphorylation pathway, electron transport chain pathway, classic metabolic pathway",,
Mitochondrial complex III assembly,WP4921,Homo sapiens,09 May 2021,,"electron transport chain pathway, oxidative phosphorylation pathway, classic metabolic pathway",,
Mitochondrial complex IV assembly,WP4922,Homo sapiens,22 May 2021,,"electron transport chain pathway, oxidative phosphorylation pathway, classic metabolic pathway",,
Mitochondrial fatty acid oxidation disorders,WP5123,Homo sapiens,29 Jun 2023,IEM,"fatty acid beta degradation pathway, carnitine palmitoyltransferase I deficiency pathway, carnitine-acylcarnitine translocase deficiency, classic metabolic pathway, disease pathway","carnitine palmitoyltransferase II deficiency, carnitine palmitoyltransferase I deficiency, carnitine-acylcarnitine translocase deficiency, genetic disease",
Mitochondrial fatty acid synthesis pathway,WP4317,Homo sapiens,06 Jan 2021,,"citric acid cycle pathway, classic metabolic pathway",,
Mitochondrial gene expression,WP1263,Mus musculus,23 May 2021,,"mitochondrial transcription pathway, regulatory pathway",,
Mitochondrial gene expression,WP1301,Rattus norvegicus,16 May 2021,,"mitochondrial transcription pathway, regulatory pathway",,
Mitochondrial gene expression,WP3134,Bos taurus,21 May 2021,,"mitochondrial transcription pathway, regulatory pathway",,
Mitochondrial gene expression,WP391,Homo sapiens,22 May 2021,,"mitochondrial transcription pathway, regulatory pathway",,
Mitochondrial immune response to SARS-CoV-2,WP5038,Homo sapiens,21 Feb 2022,COVID19,"disease pathway, immune response pathway, regulatory pathway","COVID-19, severe acute respiratory syndrome, disease by infectious agent",
Mitochondrial long chain fatty acid beta-oxidation,WP368,Homo sapiens,24 Apr 2023,,"fatty acid beta degradation pathway, classic metabolic pathway",,
Mitochondrial long chain fatty acid beta-oxidation,WP401,Mus musculus,23 May 2021,,"fatty acid beta degradation pathway, classic metabolic pathway",,
Mitochondrial long chain fatty acid beta-oxidation,WP406,Drosophila melanogaster,16 May 2021,,"fatty acid beta degradation pathway, classic metabolic pathway",,
Mitochondrial long chain fatty acid beta-oxidation,WP448,Caenorhabditis elegans,28 May 2021,Lipids,"fatty acid beta degradation pathway, classic metabolic pathway",,
Mitochondrial long chain fatty acid beta-oxidation,WP498,Danio rerio,15 May 2021,,"fatty acid beta degradation pathway, classic metabolic pathway",,
Mitochondrial long chain fatty acid beta-oxidation,WP763,Gallus gallus,19 May 2021,,"fatty acid beta degradation pathway, classic metabolic pathway",,
Mitochondrial long chain fatty acid beta-oxidation,WP989,Bos taurus,18 Jan 2023,,"fatty acid beta degradation pathway, classic metabolic pathway",,
Mitochondrial tRNA synthetases,WP62,Saccharomyces cerevisiae,20 May 2021,,"mitochondrial aminoacyl-tRNA biosynthetic pathway, regulatory pathway",,
Mitochondrial unfolded-protein response,WP525,Caenorhabditis elegans,16 May 2021,WormBase_Approved,"stress response pathway, regulatory pathway",,
Model for regulation of MSMP expression in cancer cells and its proangiogenic role in ovarian tumors,WP4397,Homo sapiens,29 Nov 2019,"CPTAC, ExRNA","CC chemokine mediated signaling pathway, cancer pathway, signaling pathway, disease pathway","ovarian cancer, disease of cellular proliferation","endothelial cell, native cell"
Model of Fgf and Wnt crosstalk in tailbud,WP4021,Danio rerio,26 Jul 2017,,"fibroblast growth factor signaling pathway, Wnt signaling pathway, signaling pathway",,
Modified nucleosides derived from tRNA as urinary cancer markers,WP4485,Homo sapiens,23 Jun 2021,,"tRNA decay pathway, regulatory pathway","cancer, disease of cellular proliferation",
Modulation of PI3K-Akt-mTOR signaling by bioactive sphingolipids,WP5192,Homo sapiens,10 Dec 2022,,,"senile degeneration of brain, central nervous system disease",
Modulators of TCR signaling and T cell activation,WP5072,Homo sapiens,11 Mar 2021,,"signaling pathway, T cell receptor signaling pathway",,"T cell, native cell"
Molybdenum cofactor (Moco) biosynthesis,WP4507,Homo sapiens,23 Jun 2021,"IEM, RareDiseases","molybdenum cofactor biosynthetic pathway, molybdenum cofactor deficiency pathway, xanthinuria type I pathway, xanthinuria type II pathway, altered molybdenum cofactor biosynthetic pathway, classic metabolic pathway, disease pathway","molybdenum cofactor deficiency type B, xanthinuria, molybdenum cofactor deficiency type C, molybdenum cofactor deficiency, genetic disease",
Momilactone biosynthesis,WP2209,Oryza sativa,21 May 2021,,"diterpenoid biosynthetic pathway, momilactone biosynthetic pathway, classic metabolic pathway",,
Monoamine GPCRs,WP1076,Bos taurus,13 Feb 2021,,"G protein mediated signaling pathway, signaling pathway",,
Monoamine GPCRs,WP1193,Canis familiaris,16 Aug 2019,,"signaling pathway, G protein mediated signaling pathway",,
Monoamine GPCRs,WP1389,Danio rerio,27 May 2021,,"G protein mediated signaling pathway, signaling pathway",,
Monoamine GPCRs,WP276,Rattus norvegicus,17 Sep 2019,,"G protein mediated signaling pathway, signaling pathway",,
Monoamine GPCRs,WP570,Mus musculus,17 Sep 2019,,"G protein mediated signaling pathway, signaling pathway",,
Monoamine GPCRs,WP58,Homo sapiens,18 Apr 2023,,"G protein mediated signaling pathway, signaling pathway",,
Monoamine GPCRs,WP839,Gallus gallus,16 Aug 2019,,,,
Monoamine GPCRs,WP957,Pan troglodytes,17 Sep 2019,,,,
Monoamine transport,WP3118,Bos taurus,21 May 2021,,"monoamine transport pathway, regulatory pathway",,
Monoamine transport,WP727,Homo sapiens,14 May 2021,,"monoamine transport pathway, regulatory pathway",,
Monoterpene biosynthesis pathway in mint,WP4701,Vitis vinifera,21 May 2021,,"monoterpene biosynthetic pathway, classic metabolic pathway",,
Myometrial relaxation and contraction pathways,WP140,Rattus norvegicus,18 May 2022,,signaling pathway,,"smooth muscle cell, native cell"
Myometrial relaxation and contraction pathways,WP289,Homo sapiens,21 Apr 2023,,signaling pathway,,"smooth muscle cell, native cell"
Myometrial relaxation and contraction pathways,WP3276,Bos taurus,18 May 2022,,signaling pathway,,"smooth muscle cell, native cell"
Myometrial relaxation and contraction pathways,WP385,Mus musculus,18 May 2022,,signaling pathway,,"smooth muscle cell, native cell"
N-glycan biosynthesis,WP5153,Homo sapiens,11 Nov 2023,,"N-linked glycan biosynthetic pathway, protein modification pathway, classic metabolic pathway, regulatory pathway",,
N-glycan biosynthesis,WP5196,Ovis aries,21 Feb 2023,,"N-linked glycan biosynthetic pathway, lipid metabolic pathway, glycan metabolic pathway, classic metabolic pathway",,
NAD biosynthesis,WP84,Saccharomyces cerevisiae,20 May 2021,,"nicotinamide adenine dinucleotide biosynthetic pathway, classic metabolic pathway",,
NAD biosynthesis I from aspartate,WP2484,Escherichia coli,21 May 2021,,"nicotinamide adenine dinucleotide biosynthetic pathway, classic metabolic pathway",,
NAD biosynthesis II (from tryptophan),WP2485,Homo sapiens,18 May 2021,,"nicotinamide adenine dinucleotide biosynthetic pathway, classic metabolic pathway",,
NAD biosynthesis II from tryptophan,WP3228,Bos taurus,21 May 2021,,"nicotinamide adenine dinucleotide biosynthetic pathway, classic metabolic pathway",,
NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence,WP5046,Homo sapiens,07 Jun 2021,,"cellular senescence pathway, nicotinamide adenine dinucleotide metabolic pathway, regulatory pathway, classic metabolic pathway",,
"NAD metabolism, sirtuins and aging",WP3630,Homo sapiens,26 Feb 2022,,"Sirtuin mediated pathway, aging pathway, classic metabolic pathway, regulatory pathway",,
NAD salvage pathway,WP171,Saccharomyces cerevisiae,20 May 2021,,"nicotinamide adenine dinucleotide biosynthesis, the salvage pathway, classic metabolic pathway",,
NAD salvage pathway I,WP2486,Escherichia coli,16 Aug 2019,,"pyridine nucleotide biosynthetic pathway, nicotinamide adenine dinucleotide biosynthetic pathway, purine salvage pathway, classic metabolic pathway",,
NAD salvage pathway II,WP2487,Escherichia coli,16 Aug 2019,,"pyridine nucleotide biosynthetic pathway, purine salvage pathway, nicotinamide adenine dinucleotide biosynthetic pathway, classic metabolic pathway",,
NAD salvage pathway III,WP2488,Escherichia coli,16 Aug 2019,,"nicotinamide adenine dinucleotide biosynthetic pathway, purine salvage pathway, pyridine nucleotide biosynthetic pathway, classic metabolic pathway",,
NAD+ biosynthetic pathways,WP3645,Homo sapiens,04 Jun 2021,,"classic metabolic pathway, nicotinamide adenine dinucleotide biosynthetic pathway",,
NAD+ metabolism,WP3644,Homo sapiens,06 Jun 2021,,"nicotinamide adenine dinucleotide metabolic pathway, classic metabolic pathway",,
NF1 copy number variation syndrome,WP5366,Homo sapiens,04 Oct 2023,,disease pathway,"neurofibromatosis 1, genetic disease",
NIPBL role in DNA damage - Cornelia de Lange syndrome,WP5119,Homo sapiens,01 Feb 2023,,,"Cornelia de Lange syndrome, genetic disease",
NO/cGMP/PKG mediated neuroprotection,WP4008,Homo sapiens,22 May 2021,,"signaling pathway, signaling pathway involving second messengers","dementia, disease of mental health","neuron, neural cell, animal cell"
NOD pathway,WP3147,Bos taurus,30 Jun 2015,,"NOD-like receptor signaling pathway, signaling pathway",,
NOTCH1 regulation of endothelial cell calcification,WP3413,Homo sapiens,09 May 2021,,regulatory pathway,,
NPHP1 deletion syndrome,WP5399,Homo sapiens,27 Jul 2023,,disease pathway,"nephronophthisis 3, genetic disease",
NRF2 pathway,WP2884,Homo sapiens,12 Sep 2019,,"regulatory pathway, nuclear factor, erythroid 2 like 2 signaling pathway",,
NRF2 pathway,WP3190,Bos taurus,25 Jul 2016,,regulatory pathway,,
NRF2-ARE regulation,WP4357,Homo sapiens,12 Oct 2023,CPTAC,"nuclear factor, erythroid 2 like 2 signaling pathway, oxidative stress response pathway, regulatory pathway",,
NRP1-triggered signaling pathways in pancreatic cancer,WP5144,Homo sapiens,12 Dec 2021,"CPTAC, PancCanNet",signaling pathway,"pancreatic adenocarcinoma, disease of cellular proliferation",
NRXN1 deletion syndrome,WP5398,Homo sapiens,27 Jul 2023,,"disease pathway, schizophrenia pathway","paranoid schizophrenia, autism spectrum disorder, disease of mental health",
Nanomaterial induced apoptosis,WP2507,Homo sapiens,28 May 2020,"AOP, Nanomaterials","apoptotic cell death pathway, nanomaterial response pathway, regulatory pathway",,
Nanomaterial-induced inflammasome activation,WP3890,Homo sapiens,07 May 2021,"AOP, Nanomaterials","xenobiotic metabolic pathway, regulatory pathway, nanomaterial response pathway, innate immune response pathway, classic metabolic pathway",,"macrophage, native cell"
